graph,num_nodes,algorithm,runtime,total_run_runtime,success_rate,median_stretch,avg_depth
Cesnet200304.graphml,26,Simple Decomposition,8.4097,33.9797,0.1262,0.0,0.8165
Cesnet200304.graphml,26,Super Trees,7.9994,34.3682,0.1714,0.3378,1.1293
Cesnet200511.graphml,34,Beacon Nodes,15.3621,37.5487,0.0951,0.0,0.8031
Cesnet200511.graphml,34,Global Controller,15.401,31.9341,0.1157,0.0,0.8031
Cesnet200511.graphml,34,PrioList,15.3049,34.2637,0.1237,0.0,0.8031
Cesnet200511.graphml,34,Simple Decomposition,15.0864,35.5037,0.1065,0.0,0.8031
Cesnet200511.graphml,34,Super Trees,14.6036,30.8129,0.189,0.6423,1.7183
Cesnet200603.graphml,34,Beacon Nodes,18.8115,43.1051,0.1264,0.0,0.6539
Cesnet200603.graphml,34,Global Controller,15.6189,34.3213,0.1252,0.0,0.6539
Cesnet200603.graphml,34,PrioList,15.4673,32.8388,0.1182,0.0,0.6539
Cesnet200603.graphml,34,Simple Decomposition,26.436,45.7025,0.1244,0.0,0.6539
Cesnet200603.graphml,34,Super Trees,14.3882,37.3986,0.2067,0.637,2.1161
Cesnet200706.graphml,38,Beacon Nodes,15.2099,39.4317,0.0926,0.0,0.5894
Cesnet200706.graphml,38,Global Controller,15.2125,36.7872,0.1066,0.0,0.5894
Cesnet200706.graphml,38,PrioList,14.9137,32.5906,0.0859,0.0,0.5894
Cesnet200706.graphml,38,Simple Decomposition,15.1305,34.9248,0.0936,0.0,0.5894
Cesnet200706.graphml,38,Super Trees,21.728,22.3221,0.1636,0.561,1.6799
Cesnet201006.graphml,45,Beacon Nodes,35.6379,55.7556,0.1065,0.0,3.29
Cesnet201006.graphml,45,Global Controller,38.7601,69.3242,0.1178,0.0,3.29
Cesnet201006.graphml,45,PrioList,36.5251,58.6455,0.115,0.0,3.29
Cesnet201006.graphml,45,Simple Decomposition,35.821,54.2641,0.1193,0.0,3.29
Cesnet201006.graphml,45,Super Trees,43.6787,60.7783,0.1701,0.5067,2.2009
Chinanet.graphml,38,Beacon Nodes,25.7082,57.3035,0.1063,0.0,0.6797
Chinanet.graphml,38,Global Controller,25.7961,59.3405,0.107,0.0,0.6797
Chinanet.graphml,38,PrioList,26.335,50.2602,0.1058,0.0,0.6797
Chinanet.graphml,38,Simple Decomposition,34.9011,61.0308,0.1165,0.0,0.6797
Chinanet.graphml,38,Super Trees,25.3903,60.6647,0.1603,0.5647,1.1795
Claranet.graphml,15,Beacon Nodes,4.4517,28.1095,0.1083,0.0,0.8316
Claranet.graphml,15,Global Controller,4.2753,27.4302,0.1037,0.0,0.8316
Claranet.graphml,15,PrioList,4.1262,24.9954,0.0926,0.0,0.8316
Claranet.graphml,15,Simple Decomposition,12.6247,27.7473,0.0944,0.0,0.8316
Claranet.graphml,15,Super Trees,3.5757,36.0208,0.286,0.3807,1.8489
Compuserve.graphml,11,Beacon Nodes,1.3077,16.7095,0.0285,0.0,1.1695
Compuserve.graphml,11,Global Controller,1.4512,19.9151,0.0406,0.1021,1.1695
Compuserve.graphml,11,PrioList,1.6781,22.3365,0.0182,0.0,1.1695
Compuserve.graphml,11,Simple Decomposition,1.4719,12.0599,0.0202,0.0,1.1695
Compuserve.graphml,11,Super Trees,1.9451,37.5968,0.2775,0.0,2.1032
CrlNetworkServices.graphml,33,Beacon Nodes,8.6958,30.7423,0.0949,0.0,3.8297
CrlNetworkServices.graphml,33,Global Controller,13.3299,30.6717,0.0702,0.0,3.8297
CrlNetworkServices.graphml,33,PrioList,8.4594,27.7722,0.0878,0.2041,3.8297
CrlNetworkServices.graphml,33,Simple Decomposition,15.4414,36.6901,0.0726,0.0,3.8297
CrlNetworkServices.graphml,33,Super Trees,10.5652,50.6643,0.2909,1.0539,5.8921
Cwix.graphml,23,Beacon Nodes,12.1003,30.8393,0.1177,0.0,1.6746
Cwix.graphml,23,Global Controller,6.9759,31.8708,0.1024,0.0,1.6746
Cwix.graphml,23,PrioList,6.5781,28.4601,0.0967,0.0,1.6746
Cwix.graphml,23,Simple Decomposition,6.7678,32.2261,0.1064,0.0,1.6746
Cwix.graphml,23,Super Trees,6.761,41.9979,0.3067,0.304,3.2021
Darkstrand.graphml,28,Beacon Nodes,3.5817,17.7845,0.0549,0.0,2.5007
Darkstrand.graphml,28,Global Controller,11.9291,22.748,0.0521,0.1021,2.5007
Darkstrand.graphml,28,PrioList,5.1882,31.7747,0.0528,0.0,2.5007
Darkstrand.graphml,28,Simple Decomposition,2.555,22.3239,0.0452,0.0,2.5007
Darkstrand.graphml,28,Super Trees,2.5279,14.9097,0.0475,0.0,3.3188
Dataxchange.graphml,6,Beacon Nodes,1.2398,20.141,0.0589,0.0,0.1632
Dataxchange.graphml,6,Global Controller,1.2624,17.9752,0.0562,0.0,0.1632
Dataxchange.graphml,6,PrioList,1.281,21.9794,0.0573,0.0,0.1632
Dataxchange.graphml,6,Simple Decomposition,1.4868,19.105,0.0631,0.0,0.1632
Dataxchange.graphml,6,Super Trees,1.2567,26.9396,0.1003,0.4149,0.8384
Dfn.graphml,51,Beacon Nodes,39.7137,55.0258,0.0203,0.2041,4.0531
Dfn.graphml,51,Global Controller,39.915,57.6798,0.0369,0.2242,4.0531
Dfn.graphml,51,PrioList,34.1121,52.1119,0.021,0.2041,4.0531
Dfn.graphml,51,Simple Decomposition,37.8557,48.1127,0.0191,0.0,4.0531
Dfn.graphml,51,Super Trees,37.7747,54.3758,0.1741,0.7661,3.6473
Digex.graphml,31,Beacon Nodes,3.1759,22.9251,0.0708,0.0,2.2817
Digex.graphml,31,Global Controller,3.9255,27.1452,0.0587,0.0,2.2817
Digex.graphml,31,PrioList,8.7425,25.8206,0.0451,0.0,2.2817
Digex.graphml,31,Simple Decomposition,3.0742,19.5868,0.0318,0.0,2.2817
Digex.graphml,31,Super Trees,3.6807,49.1951,0.3262,0.8184,6.2892
Eenet.graphml,12,Beacon Nodes,1.4148,15.0542,0.0731,0.0,1.063
Eenet.graphml,12,Global Controller,2.3376,21.8853,0.0715,0.0,1.063
Eenet.graphml,12,PrioList,1.7279,21.3457,0.0761,0.0,1.063
Eenet.graphml,12,Simple Decomposition,1.4512,12.487,0.0685,0.0,1.063
Eenet.graphml,12,Super Trees,1.3103,22.781,0.1466,0.3378,1.3752
EliBackbone.graphml,20,Beacon Nodes,6.7685,22.5894,0.0275,0.2941,1.7487
EliBackbone.graphml,20,Global Controller,11.1969,25.2562,0.0432,0.3807,1.7487
EliBackbone.graphml,20,PrioList,6.9997,28.8035,0.0163,0.0,1.7487
EliBackbone.graphml,20,Simple Decomposition,7.0971,15.3435,0.0146,0.0,1.7487
EliBackbone.graphml,20,Super Trees,7.1051,25.1199,0.1669,0.4643,2.5251
Epoch.graphml,6,Beacon Nodes,0.5547,17.8435,0.0338,0.0,0.3111
Epoch.graphml,6,Global Controller,0.5684,8.486,0.0355,0.0,0.3111
Epoch.graphml,6,PrioList,0.7362,13.6396,0.0152,0.0,0.3111
Epoch.graphml,6,Simple Decomposition,0.571,6.8531,0.0161,0.0,0.3111
Epoch.graphml,6,Super Trees,0.989,28.3116,0.3253,0.0,1.145
Ernet.graphml,16,Beacon Nodes,4.1448,19.7203,0.0762,0.0,0.6337
Ernet.graphml,16,Global Controller,3.9018,16.9894,0.0911,0.2041,0.6337
Ernet.graphml,16,PrioList,9.0051,28.662,0.096,0.0,0.6337
Ernet.graphml,16,Simple Decomposition,12.9503,26.1455,0.0953,0.0,0.6337
Ernet.graphml,16,Super Trees,4.0532,20.7706,0.2299,0.2041,1.9382
Evolink.graphml,32,Beacon Nodes,13.9942,35.2763,0.1019,0.0,3.2347
Evolink.graphml,32,Global Controller,13.726,38.6132,0.0887,0.0,3.2347
Evolink.graphml,32,PrioList,13.9061,33.315,0.0906,0.0,3.2347
Evolink.graphml,32,Simple Decomposition,19.5644,35.4386,0.1005,0.0,3.2347
Evolink.graphml,32,Super Trees,12.5053,31.2197,0.1392,0.3451,2.6682
Fccn.graphml,23,Beacon Nodes,6.0767,25.3118,0.0818,0.2041,0.7223
Fccn.graphml,23,Global Controller,6.332,25.6977,0.0926,0.3378,0.7223
Fccn.graphml,23,PrioList,6.8672,22.0517,0.0927,0.4423,0.7223
Fccn.graphml,23,Simple Decomposition,6.2326,23.1322,0.097,0.4423,0.7223
Fccn.graphml,23,Super Trees,6.0796,25.4044,0.1602,0.4885,1.0215
Forthnet.graphml,60,Beacon Nodes,6.0263,20.3322,0.0708,0.0,0.5836
Forthnet.graphml,60,Global Controller,6.0276,24.651,0.0472,0.0,0.5836
Forthnet.graphml,60,PrioList,5.7144,15.7739,0.0556,0.0,0.5836
Forthnet.graphml,60,Simple Decomposition,5.6472,15.1685,0.0449,0.0,0.5836
Forthnet.graphml,60,Super Trees,5.7801,27.1256,0.0597,0.0,0.5836
Funet.graphml,24,Beacon Nodes,12.6491,26.7809,0.104,0.0,2.9537
Funet.graphml,24,Global Controller,5.2361,18.7046,0.0914,0.0,2.9537
Funet.graphml,24,PrioList,5.2879,27.7119,0.0978,0.0,2.9537
Funet.graphml,24,Simple Decomposition,4.9833,28.227,0.1019,0.0,2.9537
Funet.graphml,24,Super Trees,4.959,32.7347,0.2065,0.4815,3.646
Gambia.graphml,12,Beacon Nodes,1.821,10.0911,0.0939,0.0,0.8555
Gambia.graphml,12,Global Controller,1.5857,13.7847,0.0708,0.0,0.8555
Gambia.graphml,12,PrioList,1.9209,17.6551,0.0876,0.0,0.8555
Gambia.graphml,12,Simple Decomposition,5.3988,19.3377,0.0826,0.0,0.8555
Gambia.graphml,12,Super Trees,1.5821,22.2643,0.1967,0.0,1.4007
Garr199901.graphml,16,Beacon Nodes,4.9125,20.2788,0.072,0.0,0.4423
Garr199901.graphml,16,Global Controller,4.9741,18.8178,0.0858,0.0,0.4423
Garr199901.graphml,16,PrioList,14.1729,22.1502,0.0802,0.0,0.4423
